flags: --input-epsilon=0.01 --output-epsilon=0.01 --output-epsilon-relative=0.01 --max-iters=1000000
timeout: 10
mode: MIN
abs_tol: 1e-12
rel_tol: 0.01

File	AnswerLow	AnswerHigh	Elapsed
benchmarks/dop_format/classical_tests/ackley_01.dop	0.3787775312587717	0.38212600239980776	0.29703259468078613
benchmarks/dop_format/classical_tests/ackley_02.dop	0.3787775312587717	0.38212600239980776	0.44693493843078613
benchmarks/dop_format/classical_tests/ackley_03.dop	0.3787775312587717	0.38058099806526946	0.35737085342407227
benchmarks/dop_format/classical_tests/ackley_04.dop	0.37836383188673656	0.38689542514414504	0.6989700794219971
benchmarks/dop_format/classical_tests/ackley_05.dop	0.37836383188673656	0.3852045457352615	0.38694167137145996
benchmarks/dop_format/classical_tests/ackley_06.dop	0.37836383188673656	0.3868501356729654	2.012596368789673
benchmarks/dop_format/classical_tests/ackley_07.dop	0.37836383188673656	0.38782611671655415	2.2444136142730713
benchmarks/dop_format/classical_tests/ackley_08.dop	0.37836383188673656	0.3863190460040249	8.253448486328125
benchmarks/dop_format/classical_tests/ackley_09.dop	0.37836383188673656	0.3926868230332852	10.402085781097412
benchmarks/dop_format/classical_tests/ackley_10.dop	0.37836383188673656	0.4085789189244417	10.316121101379395
benchmarks/dop_format/classical_tests/beale_2.dop	0.0	0.0	0.2922191619873047
benchmarks/dop_format/classical_tests/branin_2.dop	0.39788735772973816	0.39886739885225214	0.4306187629699707
benchmarks/dop_format/classical_tests/bukin6_2.dop	0.0	1.4901161193847656e-06	0.2849900722503662
benchmarks/dop_format/classical_tests/camel3_2.dop	-2064.1697479407	-2047.9166666666663	0.373427152633667
benchmarks/dop_format/classical_tests/camel6_2.dop	-1.0586322436052218	-1.031626941430138	0.3056349754333496
benchmarks/dop_format/classical_tests/colville_4.dop	-0.030291423201561085	0.0	2.725125551223755
benchmarks/dop_format/classical_tests/cross_in_tray_2.dop	9.999999999999999e-05	0.0015283001396530127	0.3818633556365967
benchmarks/dop_format/classical_tests/dixon_price_07.dop	0.0	0.009860992431640625	1.3913302421569824
benchmarks/dop_format/classical_tests/dixon_price_08.dop	0.0	0.009860992431640625	3.425562858581543
benchmarks/dop_format/classical_tests/dixon_price_09.dop	0.0	0.009860992431640625	9.753980159759521
benchmarks/dop_format/classical_tests/dixon_price_10.dop	0.0	0.1875	10.344930648803711
benchmarks/dop_format/classical_tests/drop_wave_2.dop	0.0	5.684158956883207e-12	0.235823392868042
benchmarks/dop_format/classical_tests/easom_2.dop	0.0	5e-324	0.2790687084197998
benchmarks/dop_format/classical_tests/eggholder_2.dop	-1052.322149269557	-1046.0638289244546	0.3437826633453369
benchmarks/dop_format/classical_tests/forrester_1.dop	-15.978149118668492	-15.829731945974107	0.2911999225616455
benchmarks/dop_format/classical_tests/goldstein_price_2.dop	-1041325.4897622933	-1015689.4019588699	0.41861772537231445
benchmarks/dop_format/classical_tests/gramacy_lee_1.dop	-5.111248374651443	-5.062499999999996	0.37424802780151367
benchmarks/dop_format/classical_tests/griewank_shifted_01.dop	-91.33030250000003	-90.82283139835053	0.42342710494995117
benchmarks/dop_format/classical_tests/griewank_shifted_02.dop	-181.66060500000006	-180.3649232682079	0.28191566467285156
benchmarks/dop_format/classical_tests/griewank_shifted_03.dop	-271.9909075000001	-270.9611704638831	0.35758328437805176
benchmarks/dop_format/classical_tests/griewank_shifted_04.dop	-362.3212100000002	-361.3062308096208	0.29131269454956055
benchmarks/dop_format/classical_tests/griewank_shifted_05.dop	-452.65151250000025	-451.6483325297144	0.3822975158691406
benchmarks/dop_format/classical_tests/griewank_shifted_06.dop	-542.9818150000003	-541.9788320102776	0.3031604290008545
benchmarks/dop_format/classical_tests/griewank_shifted_07.dop	-633.3121175000005	-632.3105052156984	0.4715611934661865
benchmarks/dop_format/classical_tests/griewank_shifted_08.dop	-723.6424200000006	-722.6416992654306	0.3318803310394287
benchmarks/dop_format/classical_tests/griewank_shifted_09.dop	-813.9727225000007	-812.9721690586273	0.4489912986755371
benchmarks/dop_format/classical_tests/griewank_shifted_10.dop	-904.3030250000008	-903.30303504696	0.33297252655029297
benchmarks/dop_format/classical_tests/hartmann_3.dop	3.7727185141626524e-05	0.0014530874529907725	0.49431467056274414
benchmarks/dop_format/classical_tests/hartmann_6.dop	1.193215714079706e-09	3.408539273427772e-05	0.33068060874938965
benchmarks/dop_format/classical_tests/holder_table_2.dop	0.0	4.371330576549413e-16	0.47610950469970703
benchmarks/dop_format/classical_tests/mccormick_2.dop	-1.957159850551732	-1.9132229514899528	0.32850074768066406
benchmarks/dop_format/classical_tests/michalewicz_02.dop	-0.00010009282024721134	-1.1106305403965121e-72	0.4331173896789551
benchmarks/dop_format/classical_tests/michalewicz_03.dop	-0.00020013923028725108	-3.694239845116155e-69	0.2976539134979248
benchmarks/dop_format/classical_tests/michalewicz_04.dop	-0.0003001856403272909	-1.1682729042533981e-66	0.4565587043762207
benchmarks/dop_format/classical_tests/michalewicz_05.dop	-0.0004002320503673306	-1.0217924901221287e-64	0.355579137802124
benchmarks/dop_format/classical_tests/michalewicz_06.dop	-0.0005002784604073705	-3.97469195385201e-63	0.4461972713470459
benchmarks/dop_format/classical_tests/michalewicz_07.dop	-0.0006003248704474103	-8.848854274605661e-62	0.29470205307006836
benchmarks/dop_format/classical_tests/michalewicz_08.dop	-0.0007003712804874501	-1.309629957546857e-60	0.45848870277404785
benchmarks/dop_format/classical_tests/michalewicz_09.dop	-0.0008004176905274899	-1.4186651555442699e-59	0.3274116516113281
